month,FCNTX_ret,AGTHX_ret,SPY_ret,Date,ACTIVE_EW_ret,Mkt_RF,SMB,HML,RMW,CMA,RF,MOM,FCNTX_excess,AGTHX_excess,SPY_excess,ACTIVE_EW_excess
2021-01,,,,2021-01-31,,-0.0007,0.0681,0.0322,-0.0365,0.0496999999999999,0.0,0.0431,,,,
2021-02,0.0156659069534936,0.0158407542761349,0.0278053567121625,2021-02-28,0.01575333061481425,0.0281,0.045,0.072,0.0033,-0.0199,0.0,-0.079,0.0156659069534936,0.0158407542761349,0.0278053567121625,0.01575333061481425
2021-03,0.0206546764990489,0.008744891153787,0.0454051054227686,2021-03-31,0.014699783826417949,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,-0.0612,0.0206546764990489,0.008744891153787,0.0454051054227686,0.014699783826417949
2021-04,0.0702317902445401,0.0546166935434311,0.0529104278925076,2021-04-30,0.0624242418939856,0.0496999999999999,-0.0316,-0.0102,0.0243,-0.0272,0.0,0.0123,0.0702317902445401,0.0546166935434311,0.0529104278925076,0.0624242418939856
2021-05,0.0022299438695634,-0.0067131355225535,0.0065662063036706,2021-05-31,-0.0022415958264950502,0.0029,0.0127,0.0704,0.0233999999999999,0.0301,0.0,0.0056,0.0022299438695634,-0.0067131355225535,0.0065662063036706,-0.0022415958264950502
2021-06,0.0410631148228015,0.0339321115022051,0.0224725300570693,2021-06-30,0.0374976131625033,0.0273,-0.003,-0.0786,-0.0214,-0.0093,0.0,0.0207,0.0410631148228015,0.0339321115022051,0.0224725300570693,0.0374976131625033
2021-07,0.0213209784374863,0.0098705963835856,0.0244126428200903,2021-07-31,0.01559578741053595,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,-0.0218,0.0213209784374863,0.0098705963835856,0.0244126428200903,0.01559578741053595
2021-08,0.045406660503515,0.0359327261560873,0.0297597590380749,2021-08-31,0.04066969332980115,0.0295,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.0263,0.045406660503515,0.0359327261560873,0.0297597590380749,0.04066969332980115
2021-09,-0.0599074550128535,-0.034940696382685,-0.0465752210470136,2021-09-30,-0.047424075697769255,-0.044,0.0112,0.0512,-0.0192,0.02,0.0,0.0139,-0.0599074550128535,-0.034940696382685,-0.0465752210470136,-0.047424075697769255
2021-10,0.069565978298915,0.0868120219447583,0.070163540287224,2021-10-31,0.07818900012183666,0.0663,-0.027,-0.0053,0.0171,-0.0154,0.0,0.0332,0.069565978298915,0.0868120219447583,0.070163540287224,0.07818900012183666
2021-11,-0.0009885734544164,-0.0282051282051282,-0.0080348221062153,2021-11-30,-0.0145968508297723,-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,0.0096,-0.0009885734544164,-0.0282051282051282,-0.0080348221062153,-0.0145968508297723
2021-12,0.0131849233268044,0.008379785762254,0.046288256595772,2021-12-31,0.0107823545445292,0.0324,-0.0078,0.0325,0.0487999999999999,0.0429,0.0001,-0.0239,0.013084923326804401,0.008279785762254,0.046188256595772,0.010682354544529201
2022-01,-0.0820945286030863,-0.0998655309888293,-0.0527413118646414,2022-01-31,-0.0909800297959578,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,-0.0242,-0.0820945286030863,-0.0998655309888293,-0.0527413118646414,-0.0909800297959578
2022-02,-0.0488937809576224,-0.0364817278030913,-0.029516934096613,2022-02-28,-0.04268775438035685,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,0.0166,-0.0488937809576224,-0.0364817278030913,-0.029516934096613,-0.04268775438035685
2022-03,0.0327824584143443,0.0296387832300755,0.0375556091508471,2022-03-31,0.0312106208222099,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,0.0294,0.0327824584143443,0.0296387832300755,0.0375556091508471,0.0312106208222099
2022-04,-0.1155676410605031,-0.1201203832376326,-0.0877691192841689,2022-04-30,-0.11784401214906785,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,0.05,-0.1155676410605031,-0.1201203832376326,-0.0877691192841689,-0.11784401214906785
2022-05,-0.0128641535251835,-0.0208978381945972,0.0022572514490617,2022-05-31,-0.01688099585989035,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,0.0254,-0.0131641535251835,-0.021197838194597203,0.0019572514490617003,-0.01718099585989035
2022-06,-0.0877913543484957,-0.0942971822957442,-0.0824692110571914,2022-06-30,-0.09104426832211995,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,0.0109,-0.08839135434849571,-0.0948971822957442,-0.08306921105719141,-0.09164426832211996
2022-07,0.0909781629896442,0.101798533908906,0.0920875642408458,2022-07-31,0.0963883484492751,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,-0.0436,0.0901781629896442,0.10099853390890601,0.0912875642408458,0.0955883484492751
2022-08,-0.0399803967087105,-0.0340124767719669,-0.0408020607883657,2022-08-31,-0.0369964367403387,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,0.0185,-0.0418803967087105,-0.0359124767719669,-0.0427020607883657,-0.0388964367403387
2022-09,-0.0818309644715511,-0.0858438390986225,-0.0924163152135807,2022-09-30,-0.08383740178508681,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,0.0366999999999999,-0.0837309644715511,-0.0877438390986225,-0.09431631521358069,-0.0857374017850868
2022-10,0.0469079204057745,0.0454628416825921,0.0812754236258987,2022-10-31,0.0461853810441833,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.039,0.04460792040577451,0.0431628416825921,0.0789754236258987,0.0438853810441833
2022-11,0.0522785081385273,0.0453856936735248,0.0555916244507237,2022-11-30,0.04883210090602605,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,-0.017,0.0493785081385273,0.0424856936735248,0.0526916244507237,0.04593210090602605
2022-12,-0.0569771560120418,-0.0649387009312744,-0.0575758779952851,2022-12-31,-0.0609579284716581,-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,0.0491,-0.060277156012041797,-0.0682387009312744,-0.0608758779952851,-0.06425792847165811
2023-01,0.0727853152434159,0.09800074591193,0.0628872149360841,2023-01-31,0.08539303057767295,0.0659,0.0438999999999999,-0.0394,-0.0242,-0.0443,0.0034999999999999,-0.1617,0.069285315243416,0.0945007459119301,0.0593872149360842,0.08189303057767304
2023-02,-0.0184146266749521,-0.0196911889583906,-0.0251426953860141,2023-02-28,-0.01905290781667135,-0.0256999999999999,0.0058,-0.008,0.0097,-0.0151,0.0034,0.0055,-0.0218146266749521,-0.0230911889583906,-0.0285426953860141,-0.02245290781667135
2023-03,0.0589640936934368,0.0328507672824609,0.037124980046544,2023-03-31,0.04590743048794885,0.0249,-0.0689,-0.0905,0.0227,-0.021,0.0036,-0.0235,0.055364093693436804,0.0292507672824609,0.033524980046544,0.04230743048794885
2023-04,0.0323577454827139,0.0072716791956266,0.0159751186501777,2023-04-30,0.01981471233917025,0.0063,-0.0256999999999999,-0.0012,0.0242,0.0285,0.0034999999999999,0.0176,0.028857745482713998,0.0037716791956266997,0.0124751186501778,0.01631471233917035
2023-05,0.0255038374018221,0.0267048812751544,0.0046160661827181,2023-05-31,0.026104359338488252,0.0033,-0.0043,-0.0779,-0.0178,-0.0708,0.0036,-0.0088,0.021903837401822102,0.0231048812751544,0.0010160661827180997,0.022504359338488253
2023-06,0.0604122924222179,0.0701222158766419,0.0648141074927453,2023-06-30,0.0652672541494299,0.0646,0.0128,-0.0013,0.0232,-0.0154,0.004,-0.0269,0.0564122924222179,0.0661222158766419,0.060814107492745295,0.06126725414942989
2023-07,0.0415579155791558,0.0413857733869005,0.0327334422802072,2023-07-31,0.04147184448302815,0.0321,0.0286,0.0406,-0.0059,0.0066,0.0045,-0.0406,0.037057915579155803,0.0368857733869005,0.0282334422802072,0.036971844483028156
2023-08,-0.0096563046812555,-0.0175039408978071,-0.0162521347588816,2023-08-31,-0.013580122789531298,-0.0236,-0.0365,-0.0115,0.0335,-0.0241,0.0045,0.0378,-0.014156304681255498,-0.0220039408978071,-0.020752134758881602,-0.0180801227895313
2023-09,-0.0318325916877526,-0.0463890639148413,-0.0473932399721394,2023-09-30,-0.039110827801296946,-0.0523,-0.0178,0.0149,0.0187,-0.0077,0.0043,0.0033,-0.0361325916877526,-0.0506890639148413,-0.0516932399721394,-0.043410827801296945
2023-10,-0.0094026465596226,-0.0311403316851179,-0.0217086327429015,2023-10-31,-0.02027148912237025,-0.0315,-0.0403,0.002,0.0241,-0.0069,0.0046999999999999,0.0167,-0.014102646559622501,-0.0358403316851178,-0.026408632742901398,-0.024971489122370148
2023-11,0.081985110157541,0.1089319305281746,0.0913438450850032,2023-11-30,0.09545852034285779,0.0888,-0.002,0.0167,-0.0373,-0.0108,0.0044,0.0256,0.07758511015754099,0.1045319305281746,0.0869438450850032,0.09105852034285779
2023-12,0.0348173995907956,0.0637756712451509,0.0456626429162523,2023-12-31,0.049296535417973256,0.0486,0.0727,0.0489,-0.0297,0.0129,0.0043,-0.0553,0.0305173995907956,0.05947567124515091,0.0413626429162523,0.04499653541797326
2024-01,0.0484815654941261,0.01741442581401,0.0159264353344947,2024-01-31,0.03294799565406805,0.0073,-0.0572,-0.0237999999999999,0.0067,-0.0097,0.0046999999999999,0.0542,0.0437815654941262,0.0127144258140101,0.0112264353344948,0.028247995654068152
2024-02,0.0938486873970745,0.0728305862873484,0.0521867613421871,2024-02-29,0.08333963684221145,0.0507,-0.0081999999999999,-0.0343,-0.0206,-0.0217,0.0042,0.049,0.0896486873970745,0.0686305862873484,0.0479867613421871,0.07913963684221145
2024-03,0.0287406200369588,0.0310406392277635,0.0327239491066557,2024-03-31,0.02989062963236115,0.0283999999999999,-0.0121,0.0416,0.0133,0.0113999999999999,0.0043,-0.0032,0.0244406200369588,0.0267406392277635,0.028423949106655702,0.025590629632361153
2024-04,-0.0463887055582655,-0.043612122737873,-0.0403196198650653,2024-04-30,-0.045000414148069254,-0.0465,-0.0259,-0.0045,0.0113999999999999,-0.0031,0.0046999999999999,-0.0043,-0.0510887055582654,-0.0483121227378729,-0.0450196198650652,-0.04970041414806915
2024-05,0.0691012385503304,0.040599521919153,0.0505797128876206,2024-05-31,0.0548503802347417,0.0432,0.0059,-0.0131,0.0317,-0.0285,0.0044,-0.0016,0.0647012385503304,0.036199521919153,0.0461797128876206,0.0504503802347417
2024-06,0.0444653351647115,0.0428338247233259,0.0352847018790565,2024-06-30,0.043649579944018704,0.0279999999999999,-0.0432,-0.0336,0.0056,-0.018,0.0040999999999999,0.0085,0.0403653351647116,0.038733824723325996,0.031184701879056604,0.0395495799440188
2024-07,-0.014848310095234,-0.0006785372441553,0.0121089502433313,2024-07-31,-0.00776342366969465,0.0121999999999999,0.0834,0.0562,0.0026,0.0028,0.0045,-0.0235,-0.019348310095234,-0.0051785372441553,0.0076089502433313,-0.01226342366969465
2024-08,0.0391929448322647,0.0223823316199842,0.0233656469293828,2024-08-31,0.03078763822612445,0.0161,-0.0355,-0.011,0.0076,0.0081999999999999,0.0048,0.0481,0.0343929448322647,0.017582331619984203,0.0185656469293828,0.025987638226124453
2024-09,0.0207947270889488,0.0299854500303995,0.021009213172823,2024-09-30,0.02539008855967415,0.0173,-0.0092,-0.0276,0.002,-0.0029,0.004,-0.0062,0.0167947270889488,0.0259854500303995,0.017009213172823,0.02139008855967415
2024-10,-0.0033161081371001,-0.0041226612424677,-0.0089236367393412,2024-10-31,-0.0037193846897839,-0.01,-0.0089,0.0086,-0.0148,0.0098,0.0039,0.03,-0.007216108137100099,-0.008022661242467699,-0.012823636739341199,-0.0076193846897839
2024-11,0.0489550292612503,0.0671317800360955,0.0596335499478395,2024-11-30,0.0580434046486729,0.0649,0.0458999999999999,0.0015,-0.0231,-0.0204999999999999,0.004,0.01,0.04495502926125031,0.0631317800360955,0.055633549947839506,0.054043404648672896
2024-12,-0.0094267955801103,-0.0168054295592074,-0.0240997811836836,2024-12-31,-0.01311611256965885,-0.0315,-0.0383,-0.03,0.0189,-0.0121,0.0037,-0.003,-0.0131267955801103,-0.0205054295592074,-0.0277997811836836,-0.01681611256965885
2025-01,0.0542107176471173,0.0517058395640301,0.0268563355735191,2025-01-31,0.0529582786055737,0.0279999999999999,-0.0123,0.0163,-0.0235,-0.0324,0.0037,0.0096,0.0505107176471173,0.048005839564030095,0.0231563355735191,0.0492582786055737
2025-02,-0.0257115189305368,-0.0376707863257553,-0.0126948584108732,2025-02-28,-0.03169115262814605,-0.0243,-0.0491,0.0491,0.0108,0.0306,0.0033,-0.0081,-0.0290115189305368,-0.0409707863257553,-0.0159948584108732,-0.03499115262814605
2025-03,-0.0731483815914513,-0.0753717703440891,-0.0557209442342748,2025-03-31,-0.0742600759677702,-0.0639,-0.0149,0.0289999999999999,0.0210999999999999,-0.0046999999999999,0.0034,-0.0283999999999999,-0.0765483815914513,-0.0787717703440891,-0.0591209442342748,-0.0776600759677702
2025-04,0.0079930949703137,0.0183687610006291,-0.0086700110696723,2025-04-30,0.0131809279854714,-0.0084,-0.0186,-0.034,-0.0285,-0.0266999999999999,0.0034999999999999,0.0496999999999999,0.0044930949703138,0.0148687610006292,-0.0121700110696722,0.009680927985471498
2025-05,0.0827533952971826,0.083569385159939,0.0628448145870428,2025-05-31,0.08316139022856081,0.0605999999999999,-0.0072,-0.0288,0.0129,0.0250999999999999,0.0038,0.0220999999999999,0.07895339529718261,0.079769385159939,0.059044814587042804,0.07936139022856081
2025-06,0.0677342203518995,0.0690593937924204,0.0513937304591334,2025-06-30,0.06839680707215995,0.0486,-0.0002,-0.0161,-0.032,0.0144,0.0034,-0.0264,0.0643342203518995,0.0656593937924204,0.047993730459133396,0.06499680707215995
2025-07,0.0317186707426011,0.0198296534739024,0.0230314704614156,2025-07-31,0.02577416210825175,0.0197999999999999,-0.0015,-0.0127,-0.0031,-0.0207,0.0034,-0.0097,0.028318670742601103,0.0164296534739024,0.019631470461415598,0.02237416210825175
2025-08,0.0024930711765294,0.0172965759028935,0.0205196466953625,2025-08-31,0.00989482353971145,0.0185,0.0487999999999999,0.0441999999999999,-0.0068,0.0208,0.0038,-0.0354,-0.0013069288234706,0.013496575902893502,0.016719646695362498,0.00609482353971145
2025-09,0.026109977865544,0.0297842932591319,0.0356063571889284,2025-09-30,0.027947135562337952,0.0339,-0.0218,-0.0105,-0.0206,-0.0222,0.0033,0.0463,0.022809977865544,0.0264842932591319,0.0323063571889284,0.02464713556233795
2025-10,0.0100961823149736,0.0249379773343965,0.0238375152148826,2025-10-31,0.01751707982468505,0.0196,-0.013,-0.031,-0.0521,-0.0403,0.0037,0.0027,0.0063961823149735995,0.0212379773343965,0.0201375152148826,0.01381707982468505
2025-11,-0.0007997889562125,-0.0088880668331329,0.0019499514901593,2025-11-30,-0.0048439278946727,-0.0013,0.0147,0.0375999999999999,0.0141999999999999,0.0068,0.003,-0.018,-0.0037997889562125,-0.011888066833132899,-0.0010500485098407,-0.007843927894672701
2025-12,0.016607856777665,0.0010363699927964,0.0007715063069941,2025-12-31,0.0088221133852307,-0.0036,-0.0022,0.0242,0.004,0.0037,0.0034,-0.024,0.013207856777664999,-0.0023636300072036,-0.0026284936930059,0.005422113385230699
