и≠ЙеИЄдї£зҐЉ,еєіжЬИ,еЄВе†ійҐ®йЪ™жЇҐйЕђ,и¶Пж®°жЇҐйЕђ (3еЫ†е≠Р),жЈ®еАЉеЄВеГєжѓФжЇҐйЕђ,еЛХиГљеЫ†е≠Р,зД°йҐ®йЪ™еИ©зОЗ
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202001,-4.4185,-0.7272,-0.5456,0.0214,1.045
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202002,-1.6969,1.0040,-0.4779,-0.0364,1.045
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202003,-14.1796,-3.5253,-1.3917,4.5771,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202004,13.4851,5.5135,1.8531,0.8784,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202005,0.1281,7.9254,-0.9117,1.1272,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202006,6.8864,0.0030,-0.2056,0.0915,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202007,9.9162,-4.4875,-5.4983,12.1641,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202008,0.1033,4.1798,6.1056,-1.8533,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202009,-0.5542,0.5031,1.0477,-0.1257,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202010,0.1843,0.6100,2.0379,0.7877,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202011,9.3044,-0.8871,1.7461,-0.3238,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202012,7.1594,-2.4958,2.6143,2.1328,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202101,2.1590,-5.9691,-5.1420,3.4106,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202102,5.6097,3.4361,1.1963,3.9463,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202103,3.3070,5.6074,4.2535,2.6555,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202104,6.8376,-2.7429,15.8869,2.1113,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202105,-3.1517,-6.0483,-1.0596,-0.3569,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202106,4.4628,2.0070,-1.1400,4.7378,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202107,-1.6915,3.6475,-0.9033,-1.4856,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202108,2.0308,-4.0761,1.2885,0.5478,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202109,-2.9543,1.9117,2.7345,-3.5281,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202110,0.4619,1.1658,0.5831,-1.3370,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202111,2.7605,3.0170,-0.9126,3.7414,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202112,4.6572,1.5462,-0.3262,-0.5289,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202201,-3.5195,-4.8604,1.0301,-5.3547,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202202,-0.0627,2.1550,1.6396,2.9719,0.795
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202203,0.4447,0.3857,3.0670,1.7382,1.045
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202204,-6.5461,0.2648,3.8849,-2.2984,1.045
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202205,1.3589,0.8983,-1.2894,-2.4672,1.045
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202206,-10.4287,3.8600,4.1277,1.9406,1.200
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202207,3.0134,0.2650,-0.9257,1.6649,1.200
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202208,1.7543,5.1336,1.7349,2.2867,1.200
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202209,-11.0687,1.1826,3.2651,3.1447,1.325
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202210,-3.7037,-1.6618,2.3916,-2.3822,1.325
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202211,14.6451,-3.1007,-6.1102,-4.2936,1.325
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202212,-4.7267,3.7005,0.6959,1.3720,1.450
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202301,7.8156,-3.9965,-3.7269,-2.9712,1.450
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202302,1.7946,5.1089,-1.4467,3.7899,1.450
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202303,2.5436,1.2932,-1.4248,-0.9587,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202304,-1.8452,4.0659,3.5132,4.1418,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202305,6.0687,-1.5659,-2.1706,3.1864,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202306,3.4095,1.2965,-1.1611,4.0402,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202307,2.0907,-2.6874,2.1172,5.7347,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202308,-2.7790,0.0175,1.0550,-0.1212,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202309,-1.4472,1.7571,2.5626,-2.3122,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202310,-2.2206,1.0706,0.2609,-3.2866,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202311,8.9497,0.7201,-1.3553,5.2393,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202312,2.7020,-1.8252,1.4924,0.0072,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202401,-0.1377,2.2660,-1.1332,5.8778,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202402,5.7585,2.6900,-1.4967,6.6803,1.575
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202403,6.6041,-7.6329,0.3886,2.4245,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202404,0.2691,1.1541,4.5885,-0.6250,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202405,3.6538,1.6499,2.9899,0.9931,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202406,8.8196,-3.4061,-6.2628,4.8750,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202407,-2.8065,0.6357,3.7886,0.3239,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202408,0.8380,1.8711,-0.5746,3.5203,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202409,-0.3328,-0.3037,3.2096,-2.4344,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202410,2.1925,-1.4418,-3.5970,3.6885,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202411,-2.6018,-0.3148,1.2121,-0.1030,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202412,3.1705,-2.1444,-6.1370,5.8102,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202501,1.7037,-3.1331,-2.1237,0.5554,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202502,-1.8267,5.0045,5.5553,-5.6469,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202503,-10.1926,0.2372,2.0188,-0.4710,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202504,-2.4700,-1.4826,-3.1813,1.1515,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202505,5.1681,-1.8580,-1.9037,-3.3397,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202506,4.8329,-4.4733,-6.2829,3.6887,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202507,6.3812,-4.7210,-0.7974,-1.7627,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202508,3.5333,4.1532,-1.7431,-2.3548,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202509,6.3356,-6.2151,-1.3527,0.8299,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202510,8.6172,-8.3939,-2.6243,4.5754,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202511,-2.1469,-0.2594,4.9886,-1.0482,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202512,4.8875,0.0047,0.5636,5.3079,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202601,10.5437,-7.9144,2.4844,5.4728,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202602,9.7706,-3.6019,-4.6023,8.0107,1.700
Z9999 дЄКеЄВпЉЛдЄКжЂГ,202603,-9.7260,6.1865,0.5773,-0.6103,1.700
